	strain_host	corrected_host	latin_name	category	order	domesticstatus	source
625	lesserblackbackedgull	lesserblackbackedgull	Larus fuscus	gull	charadriiformes	wild	clara_birds,clara_global
626	lesserflamingo	lesserflamingo	Phoenicopterus minor	wader	phoenicopteriformes	unknown	clara_nam
627	lesserkestrel	lesserkestrel	Falco naumanni	raptor	falconiformes	wild	clara_birds
628	lesserscaup	lesserscaup	Aythya affinis	duck	anseriformes	wild	clara_nam,clara_global
629	lessersnowgoose	lessersnowgoose	Anser caerulescens	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
630	lessersnowgooseblue	lessersnowgooseblue	Anser caerulescens	goose	anseriformes	wild	clara_nam,clara_global
631	lessersnowgoosewhite	lessersnowgoosewhite	Anser caerulescens	goose	anseriformes	wild	clara_nam,clara_global
632	lesserwhitefrontedgoose	lesserwhitefrontedgoose	Anser erythropus	goose	anseriformes	wild	clara_nam,clara_global
633	leucophaeus_atricilla	laughinggull	Leucophaeus atricilla	gull	charadriiformes	wild	clara_birds
634	little_egret	littleegret	Egretta garzetta	heron	pelecaniformes	wild	clara_birds
635	little_grebe	littlegrebe	Tachybaptus ruficollis	grebe	podicipediformes	wild	clara_birds
636	littlecuckoo-dove	littlecuckoodove	Macropygia ruficeps	dove	columbiformes	wild	clara_birds
637	littleegret	littleegret	Egretta garzetta	heron	pelecaniformes	wild	clara_birds
638	littlegrebe	littlegrebe	Tachybaptus ruficollis	grebe	podicipediformes	wild	clara_birds
639	littlegull	ilttlegull	Hydrocoloeus minutus	gull	charadriiformes	wild	jordan,clara_global
640	littleowl	littleowl	Athene noctua	owl	strigiformes	wild	clara_birds,clara_global
641	littletern	littletern	Sternula albifrons	tern	charadriiformes	wild	jordan,clara_global
642	long-tailedshrike	longtailedshrike	Lanius schach	passerine	passeriformes	wild	clara_birds
643	longearedowl	longearedowl	Asio otus	owl	strigiformes	wild	clara_nam,clara_global
644	longtail_duck	longtailedduck	Clangula hyemalis	duck	anseriformes	wild	clara_birds
645	longtailedduck	longtailedduck	Clangula hyemalis	duck	anseriformes	wild	clara_nam
646	longtailedskua	longtailedjaeger	Stercorarius longicaudus		charadriiformes	wild	jordan,clara_global
647	lorikeet	lorikeet	Trichoglossus moluccanus	parrot	psittaciformes	unknown	clara_nam
648	lusciniacyane	siberianbluerobin	Larvivora cyane	passerine	passeriformes	wild	jordan
649	magpie	magpie	Corvidae	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
650	magpie_robin	magpierobin	Copsychus	passerine	passeriformes	wild	clara_birds
651	magpierobin	magpierobin	Copsychus	passerine	passeriformes	wild	clara_birds
652	mal	mallard	Anas platyrhynchos	duck	anseriformes	wild	jordan
653	mallard	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
654	mallard_duck	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_birds
655	mallard-black_duck_hybrid	mallardblackduckhybrid		duck	anseriformes	unknown	clara_birds
656	mallard(anas_platyrhynchos)	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_birds
657	mallardblackduckhybrid	mallardblackduckhybrid		duck	anseriformes	unknown	jordan
658	mallarddenmark	mallard	Anas platyrhynchos	duck	anseriformes	wild	jordan
659	mallardduck	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
660	mandarin_duck	mandarinduck	Aix galericulata	duck	anseriformes	wild	clara_birds
661	mandarinduck	mandarinduck	Aix galericulata	duck	anseriformes	wild	clara_birds,clara_global
662	maned_goose	australianwoodduck	Chenonetta jubata	duck	anseriformes	wild	clara_birds
663	manxshearwater	manxshearwater	Puffinus puffinus	seabird	procellariiformes	wild	clara_nam,clara_global
664	marabou_stork	maraboustork	Leptoptilos crumenifer	stork	ciconiiformes	wild	clara_birds
665	maraboustork	maraboustork	Leptoptilos crumenifer	stork	ciconiiformes	wild	clara_birds
666	marmaronettaangustirostris	marbledduck	Marmaronetta angustirostris	duck	anseriformes	wild	jordan
667	mediterraneangull	mediterraneangull	Ichthyaetus melanocephalus	gull	charadriiformes	wild	jordan,clara_global
668	melanitta_nigra	commonscoter	Melanitta_nigra	duck	anseriformes	wild	clara_birds
669	meleagrisgallopavo	wildturkey	Meleagris gallopavo	turkey	galliformes	unknown	clara_birds,jordan,clara_global
670	merganser	merganser	Mergus	duck	anseriformes	wild	clara_nam,clara_global
671	mergus	duck		duck	anseriformes	unknown	clara_nam,clara_global
672	mergusalbellus	smew	Mergus albellus	duck	anseriformes	wild	clara_birds
673	merlin	merlin	Falco columbarius	raptor	falconiformes	wild	clara_nam
674	mewgull	commongull	Larus canus	gull	charadriiformes	wild	jordan
675	mexicanduck	mexicanduck	Anas diazi	duck	anseriformes	wild	jordan
676	migratorybird	migratorybird		avian	avian	unknown	clara_birds
677	migratoryduck	duck		duck	anseriformes	unknown	clara_birds
678	migratorywaterfowl	unknown		unknown	unknown	unknown	jordan
679	mink	mink		mink	mink	wild	clara_birds
680	mixed	multispecies		unknown	unknown	unknown	clara_nam,clara_global
681	mixeddomesticanatidae			unknown	anseriformes	domestic	jordan,clara_global
682	mixeddomesticphasianidae			unknown	galliformes	domestic	jordan,clara_global
683	mixedwildbirds	mixedwildbirds		avian	avian	wild	clara_birds,jordan,clara_global
684	moorhen	moorhen		moorhen	gruiformes	wild	clara_birds,clara_global
685	morusbassanus	northerngannet	Morus bassanus	seabird	suliformes	wild	clara_birds,jordan,clara_global
686	mottledduck	mottledduck	Anas fulvigula	duck	anseriformes	wild	clara_nam,clara_global
687	mountain_hawk_eagle	mountainhawkeagle	Nisaetus nipalensis	raptor	accipitriformes	wild	clara_birds
688	mountainhawk-eagle	mountainhawkeagle	Nisaetus nipalensis	raptor	accipitriformes	wild	clara_birds
689	mountainhawkeagle	mountainhawkeagle	Nisaetus nipalensis	raptor	accipitriformes	wild	jordan
690	mourningdove	mourningdove	Zenaida macroura	dove	columbiformes	wild	clara_nam
691	mswan		unknown	swan	anseriformes	unknown	jordan
692	mulardduck	mulardduck	Anas platyrhynchos _ Cairina moschata	duck	anseriformes	domestic	jordan
693	mule_duck	mulardduck	Anas platyrhynchos _ Cairina moschata	duck	anseriformes	domestic	clara_birds
694	muleduck	mulardduck	Anas platyrhynchos _ Cairina moschata	duck	anseriformes	domestic	jordan,clara_global
695	multispecies	multispecies			unknown	unknown	clara_nam,clara_global
696	munia	munia		passerine	passeriformes	wild	clara_birds
697	muscovy	muscovyduck	Cairina moschata	duck	anseriformes	unknown	clara_birds
698	muscovy_duck	muscovyduck	Cairina moschata	duck	anseriformes	unknown	clara_birds
699	muscovyduck	muscovyduck	Cairina moschata	duck	anseriformes	unknown	clara_nam,clara_birds,clara_global
700	mute_swan	muteswan	Cygnus olor	goose	anseriformes	wild	clara_birds
701	muteswan	muteswan	Cygnus olor	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
702	mynah	myna		passerine	passeriformes	wild	clara_birds
703	mynas	myna		passerine	passeriformes	wild	clara_birds
704	nasuanasua	coati	Nasua nasua	coati	raccoon	wild	jordan
705	nativechicken	chicken	Gallus gallus	chicken	galliformes	unknown	jordan,clara_global
706	nenegoose	hawaiiangoose	Branta sandvicensis	goose	anseriformes	wild	jordan,clara_global
707	neotropiccormorant	neotropiccormorant	Phalacrocorax brasilianus	cormorant	suliformes	wild	clara_nam,clara_birds,clara_global
708	netta_rufina	redcrestedpochard	Netta rufina	duck	anseriformes	wild	clara_birds
709	nightheron	nightheron		heron	pelecaniformes	wild	jordan
710	nightingale	nightingale	Luscinia megarhynchos	passerine	passeriformes	wild	clara_birds
711	northen_pintail	northernpintail	Anas acuta	duck	anseriformes	wild	clara_birds
712	northernfulmar	northernfulmar	Fulmarus glacialis	seabird	procellariiformes	wild 	clara_nam,clara_global
713	northerngannet	northerngannet	Morus bassanus	seabird	suliformes	wild	clara_nam,clara_birds,clara_global
714	northerngiantpetrel	northerngiantpetrel	Macronectes halli	seabird	procellariiformes	wild	jordan
715	northerngoshawk	goshawk		raptor	accipitriformes	wild	clara_birds,clara_global
716	northernharrier	northernharrier	Circus hudsonius	hawk	accipitriformes	wild	clara_nam,clara_global
717	northernlapwing	northernlapwing	Vanellus vanellus	wader	charadriiformes	wild	jordan
718	northernpintail	northernpintail	Anas acuta	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
719	northernsawwhetowl	northernsawwhetowl	Aegolius acadicus	owl	strigiformes	wild	clara_nam
720	northernshoveler	northernshoveler	Spatula clypeata	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
721	northwesterncrow	americancrow	Corvus brachyrhynchos	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
722	notherngannet	northerngannet	Morus bassanus	gannet	suliformes	wild	clara_birds,jordan,clara_global
723	numeniusarquata	eurasiancurlew	Numenius arquata	wader	charadriiformes	wild	jordan,clara_global
724	open_bill_stork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
725	open_billed_stork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
726	open_billedstork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
727	open_billstork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
728	open-billedstork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
729	open-billibis	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
730	open-billstork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
731	openbill	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
732	openbill_stork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
733	openbillstork	asianopenbill	Anastomus oscitans	stork	ciconiiformes	wild	clara_birds
734	orientalmagpierobin	orientalmagpierobin	Copsychus saularis	passerine	passeriformes	wild	clara_birds
735	ornamentalbird			unknown	unknown	unknown	jordan
736	osprey	osprey	Pandion haliaetus	hawk	accipitriformes	wild	clara_nam,clara_global
737	ostrich	ostrich	Struthio camelus	ostrich	struthioniformes	unknown	clara_nam,clara_birds
738	ostriches	ostrich	Struthio camelus	ostrich	struthioniformes	unknown	jordan
739	other_avian	avian		avian	avian	unknown	clara_birds
740	otusscops	eurasianscopsowl	Otus scops	owl	strigiformes	wild	clara_birds,jordan,clara_global
741	owl	owl	Strigidae	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
742	oxyura_jamaicensis	ruddyduck	Oxyura jamaicensis	duck	anseriformes	wild	clara_birds
743	oystercatcher	oystercatcher		wader	charadriiformes	wild	clara_birds,clara_global
744	pacific_golden_plover	pacificgoldenplover	Pluvialis fulva	wader	charadriiformes	wild	clara_birds
745	pacificblackduck	pacificblackduck	Anas superciliosa	duck	anseriformes	wild	jordan
746	pacificloon	pacificloon	Gavia pacifica	duck	gaviiformes	wild	clara_nam
747	paintedstork	paintedstork	Mycteria leucocephala	stork	ciconiiformes	wild	jordan
748	parasiticjaeger	parasiticjaeger	Stercorarius parasiticus	gull	charadriiformes	wild	clara_nam,clara_global
749	parrot	parrot	Psittacidae	parrot	psittaciformes	unknown	clara_nam,clara_global
750	partridge	partridge	Phasianidae	partridge	galliformes	unknown	clara_nam,clara_birds,clara_global
751	pavo	peafowl	Pavo	peafowl	galliformes	wild	jordan,clara_global
752	pavocristatus	commonpeafowl	Pavo cristatus	peafowl	galliformes	wild	jordan,clara_global
753	peacefuldove	peacefuldove	Geopelia placida	dove	columbiformes	unknown	clara_birds
754	peacock	peafowl	Pavo	peafowl	galliformes	unknown	clara_nam,clara_birds,clara_global
755	peafowl	peafowl	Pavo	peafowl	galliformes	unknown	clara_nam,clara_birds,clara_global
756	pekinduck	pekinduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
757	pekingduck	pekinduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds
758	pelecanus	pelican	Pelecanidae	pelican	pelecaniformes	wild	jordan,clara_global
759	pelecanusconspicillatus	australianpelican	Pelecanus conspicillatus	pelican	pelecaniformes	unknown	clara_birds,clara_global
760	pelecanuscrispus	dalmatianpelican	Pelecanus crispus	pelican	pelecaniformes	wild	clara_birds,clara_global
761	pelecanusoccidentalis	brownpelican	Pelecanus occidentalis	pelican	pelecaniformes	wild	jordan,clara_global
762	pelecanusthagus	peruvianpelican	Pelecanus thagus	pelican	pelecaniformes	wild	jordan
763	pelican	pelican	Pelecanidae	pelican	pelecaniformes	wild	clara_nam,clara_birds,clara_global
764	penguin	penguin	Spheniscidae	penguin	sphenisciformes	wild	jordan
765	peregrine	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	clara_birds
766	peregrine_falcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	clara_birds
767	peregrinefalcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	clara_nam,clara_birds,clara_global
768	perigrinefalcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	jordan
769	peru				unknown	unknown	jordan,clara_global
770	peruveanbooby	peruvianbooby	Sula variegata	seabird	suliformes	wild	jordan,clara_global
771	Peruvian_pelican	peruvianpelican	Pelecanus thagus	pelican	pelecaniformes	wild	clara_birds
772	peruvianbooby	peruvianbooby	Sula variegata	seabird	suliformes	wild	jordan,clara_global
773	pet_bird	petbird		avian	avian	unknown	clara_birds
774	pfalcon	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	jordan
775	ph	avian		avian	avian	unknown	clara_birds
776	phalacrocorax	cormorant	Phalacrocorax	cormorant	suliformes	wild	clara_birds
777	phalacrocoraxcarbo	greatcormorant	Phalacrocorax carbo	cormorant	suliformes	wild	clara_birds,clara_global
778	phasianuscolchicus	commonpheasant	Phasianus colchicus	pheasant	galliformes	unknown	clara_birds,clara_global
779	pheasant	pheasant		pheasant	galliformes	unknown	clara_nam,clara_birds,clara_global
780	picapica	eurasianmagpie	Pica pica	passerine	passeriformes	wild	jordan,clara_global
781	pied_megpie			passerine	passeriformes	wild	clara_birds
782	piedbilledgrebe	piedbilledgrebe	Podilymbus podiceps	grebe	podicipediformes	wild	clara_nam
783	piedmegpie			passerine	passeriformes	wild	clara_birds
784	pig	swine		swine	swine	unknown	clara_birds
785	pigeon	pigeon	Columba	dove	columbiformes	wild	clara_nam,clara_birds,clara_global
786	pink-eared_duck	pinkearedduck	Malacorhynchus membranaceus	duck	anseriformes	wild	clara_birds
787	pinkfootedgoose	pinkfootedgoose	Anser brachyrhynchus	goose	anseriformes	wild	jordan,clara_global
788	pintail	northernpintail	Anas acuta	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
789	pintail_duck	northernpintail	Anas acuta	duck	anseriformes	wild	clara_birds
790	plushcrestedjay	plushcrestedjay	Cyanocorax chrysops	passerine	passeriformes	unknown	clara_nam
791	pluvialisdominica	americangoldenplover	Pluvialis dominica	wader	charadriiformes	wild	jordan
792	pochard	commonpochard	Aythya ferina	duck	anseriformes	wild	clara_birds
793	pochardduck	commonpochard	Aythya ferina	duck	anseriformes	wild	jordan
794	podicepscristatus	greatcrestedgrebe	Podiceps cristatus	grebe	podicipediformes	wild	jordan
795	polarskua	southpolarskua	Stercorarius maccormicki	seabird	charadriiformes	wild	jordan,clara_global
796	pomeraniangoose	pomeraniangoose	Anser anser domesticus 	goose	anseriformes	domestic	jordan,clara_global
797	poultry	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
798	prairiefalcon	prairiefalcon	Falco mexicanus	raptor	falconiformes	wild	clara_nam
799	procellariaaequinoctialis	whitechinnedpetrel	Procellaria aequinoctialis	seabird	procellariiformes	wild	jordan
800	psittacine	parrot		parrot	psittaciformes	unknown	clara_birds
801	punateal	punateal	Spatula puna	duck	anseriformes	wild	clara_nam
802	qa	avian		unknown	unknown	unknown	clara_birds
803	qu	avian		unknown	unknown	unknown	clara_birds
804	quail	quail		quail	galliformes	unknown	clara_nam,clara_birds,clara_global
805	radjahshelduck	radjahshelduck	Radjah radjah	duck	anseriformes	wild	jordan
806	rails	rail	Rallidae	wader	gruiformes	wild	jordan
807	raptor	raptor		raptor	accipitriformes	wild	jordan
808	raven	raven	Corvus	passerine	passeriformes	wild	clara_nam,clara_global
809	raxorbill	razorbill	Alca torda	gull	charadriiformes	wild	clara_nam,clara_global
810	razorbill	razorbill	Alca torda	gull	charadriiformes	wild	clara_nam,clara_global
811	rbpochard	redcrestedpochard	Netta rufina	duck	anseriformes	wild	clara_birds
812	red_crested_pochard	redcrestedpochard	Netta rufina	duck	anseriformes	wild	clara_birds
813	red-billedstarling	redbilledstarling	Spodiopsar sericeus	passerine	passeriformes	wild	clara_birds
814	red-crested_pochard	redcrestedpochard	Netta rufina	duck	anseriformes	wild	clara_birds
815	red-fronted_coot	redfrontedcoot	Fulica rufifrons	coot	gruiformes	wild	clara_birds
816	red-gartered_coot	redgarteredcoot	Fulica armillata	coot	gruiformes	wild	clara_birds
817	red-necked_grebe	redneckedgrebe	Podiceps grisegena	grebe	podicipediformes	wild	clara_birds
818	red-necked_stint	redneckedstint	Calidris ruficollis	wader	charadriiformes	wild	clara_birds
819	redbackedhawk	variablehawk	Geranoaetus polyosoma	raptor	accipitriformes	wild	clara_birds,jordan,clara_global
820	redbreastedgoose	redbreastedgoose	Branta ruficollis	goose	anseriformes	unknown	clara_nam
821	redbreastedmerganser	redbreastedmerganser	Mergus serrator	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
822	redcrownedcrane	redcrownedcrane	Grus japonensis	crane	gruiformes	wild	clara_birds,jordan,clara_global
823	redhead	redheadduck	Aythya americana	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
824	redheadduck	redheadduck	Aythya americana	duck	anseriformes	wild	clara_nam,clara_global
825	redkite	redkite	Milvus milvus	raptor	accipitriformes	wild	jordan
826	redknot	redknot	Calidris canutus	wader	charadriiformes	wild	clara_birds,jordan,clara_global
827	redneckedgrebe	redneckedgrebe	Podiceps grisegena	grebe	podicipediformes	wild	clara_nam,clara_global
828	redneckedphalarope	redneckedphalarope	Phalaropus lobatus	wader	charadriiformes	wild 	clara_nam,clara_global
829	redshoulderedhawk	redshoulderedhawk	Buteo lineatus	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
830	redtailedhawk	redtailedhawk	Buteo jamaicensis	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
831	redwingedblackbird	redwingedblackbird	Agelaius phoeniceus	passerine	passeriformes	wild	clara_nam
832	rhea	rhea	Rhea	rhea	rheiformes	unknown	clara_nam,clara_birds,clara_global
833	ringbilledgull	ringbilledgull	Larus delawarensis	gull	charadriiformes	wild	clara_nam,clara_global
834	ringneckedduck	ringneckedduck	Aythya collaris	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
835	ringneckedpheasant	commonpheasant	Phasianus colchicus	pheasant	galliformes	wild	clara_nam,clara_global
836	ringtailedhawk	northernharrier	Circus hudsonius	raptor	accipitriformes	wild	clara_nam
837	rissatridactyla	blackleggedkittiwake	Rissa tridactyla	gull	charadriiformes	wild	jordan,clara_global
838	robin	americanrobin	Turdus migratorius	passerine	passeriformes	wild	clara_birds
839	rockpigeon	rockpigeon	Columba livia	pigeon	columbiformes	wild	clara_nam,clara_global
840	rollers	roller	Coracias	roller	coraciiformes	wild	clara_birds
841	rook	rook	Corvus frugilegus	passerine	passeriformes	wild	clara_birds
842	rooster	chicken	Gallus gallus	chicken	galliformes	unknown	clara_birds,clara_global
843	roseatespoonbill	roseatespoonbill	Platalea ajaja	wader	pelecaniformes	wild	clara_nam
844	rosssgoose	rosssgoose	Anser rossii	goose	anseriformes	wild	clara_nam,clara_global
845	rossssgoose	rosssgoose	Anser rossii	goose	anseriformes	wild	clara_nam
846	rosybilledpochard	rosybilledpochard	Netta peposaca	duck	anseriformes	wild	jordan
847	roughleggedhawk	roughleggedhawk	Buteo lagopus 	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
848	royaltern	royaltern	Thalasseus maximus	tern	charadriiformes	wild	clara_nam,clara_global
849	rthawk	redtailedhawk	Buteo jamaicensis	raptor	accipitriformes	wild	clara_nam,clara_global
850	rubbyshelduck	ruddyshelduck	Tadorna ferruginea	duck	anseriformes	wild	clara_birds
851	ruddy_shelduck	ruddyshelduck	Tadorna ferruginea	duck	anseriformes	wild	clara_birds
852	ruddyduck	ruddyduck	Oxyura jamaicensis	duck	anseriformes	wild	clara_nam,clara_global
853	ruddyshelduck	ruddyshelduck	Tadorna ferruginea	duck	anseriformes	wild	clara_birds
854	ruddyturnstone	ruddyturnstone	Arenaria interpres	wader	charadriiformes	wild	clara_nam,clara_birds,clara_global
855	ruffedgrouse	ruffedgrouse	Bonasa umbellus	groundbird	galliformes	wild	clara_nam
856	ruralchicken	chicken	Gallus gallus	chicken	galliformes	unknown	jordan,clara_global
857	ruralduck	duck		duck	anseriformes	unknown	jordan,clara_global
858	ruralgoose	goose		goose	anseriformes	unknown	jordan,clara_global
859	rurallayinghen	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
860	ruralturkey	turkey	Meleagris gallopavo	turkey	galliformes	unknown	jordan,clara_global
861	sabinesgull	sabinesgull	Xema sabini	gull	charadriiformes	wild	clara_nam,clara_global
862	sacredibis	africansacredibis	Threskiornis aethiopicus	ibis	pelecaniformes	wild	jordan
863	saker_falcon	sakerfalcon	Falco cherrug	raptor	falconiformes	wild	clara_birds
864	sakerfalcon	sakerfalcon	Falco cherrug	raptor	falconiformes	wild	clara_birds
865	sanderling	sanderling	Calidris alba	wader	charadriiformes	wild	clara_nam,clara_birds,clara_global
866	sandhillcrane	sandhillcrane	Antigone canadensis	crane	gruiformes	wild	clara_nam,clara_global
867	sandpiper	sandpiper	Scolopacidae	wader	charadriiformes	wild	clara_birds,jordan
868	sandwichtern	sandwichtern	Thalasseus sandvicensis	tern	charadriiformes	wild	clara_nam,clara_birds,clara_global
869	savannahsparrow	savannahsparrow	Passerculus sandwichensis	passerine	passeriformes	wild	clara_nam
870	saysphoebe	saysphoebe	Sayornis saya	passerine	passeriformes	wild	clara_nam
871	scaly-breastedmunia	scalybreastedmunia	Lonchura punctulata	passerine	passeriformes	wild	clara_birds
872	scalysidedmerganser	scalysidedmerganser	Mergus squamatus	duck	anseriformes	unknown	clara_nam
873	scarletibis	scarletibis	Eudocimus ruber	wader	pelecaniformes	unknown	clara_nam
874	sck	avian		unknown	unknown	unknown	clara_birds
875	scoter	scoter	Melanitta	duck	anseriformes	wild	clara_nam,clara_global
876	seabird	seabird		seabird	unknown	wild	jordan
877	seaeagle	seaeagle		raptor	accipitriformes	wild	clara_birds,jordan,clara_global
878	seagull	gull		gull	charadriiformes	wild	clara_birds,clara_global
879	seal	seal	Pinniped	seal	seal	wild	clara_birds
880	sebastopolgoose	sebastopolgoose	Anser anser domesticus 	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
881	semipalmated_sandpiper	semipalmatedsandpiper	Calidris pusilla	wader	charadriiformes	wild	clara_birds
882	sharpshinnedhawk	sharpshinnedhawk	Accipiter striatus	raptor	accipitriformes	wild	clara_nam,clara_global
883	shearwater	shearwater		seabird	procellariiformes	wild	jordan
884	shelduck	shelduck		duck	anseriformes	wild	jordan
885	shorebird	shorebird		wader	charadriiformes	wild	clara_birds
886	shortbilledgull	shortbilledgull	Larus brachyrhynchus	gull	charadriiformes	wild	clara_nam,clara_global
887	shortearedowl	shortearedowl	Asio flammeus	owl	strigiformes	wild	clara_nam,clara_global
888	shorttailedshearwaters	shorttailedshearwater	Ardenna tenuirostris	seabird	procellariiformes	wild	clara_nam,clara_global
889	shoveler	shoveler		duck	anseriformes	wild	clara_birds,jordan,clara_global
890	shoveller	shoveler		duck	anseriformes	wild	jordan
891	shovellerduck	shoveler		duck	anseriformes	wild	jordan
892	shrike	shrike	Laniidae	passerine	passeriformes	wild	clara_birds
893	silkiechicken	silkiechicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
894	silkychicken	silkiechicken	Gallus gallus	chicken	galliformes	domestic	clara_birds
895	silver-earedmesia	silverearedmesia	Leiothrix argentauris	passerine	passeriformes	wild	clara_birds
896	silverearedmesia	silverearedmesia	Leiothrix argentauris	passerine	passeriformes	wild	clara_birds
897	silverpheasant	silverpheasant	Lophura nycthemera	pheasant	galliformes	unknown	clara_nam,clara_birds,clara_global
898	silverteal	silverteal	Spatula versicolor	duck	anseriformes	wild	jordan
899	slaty-backedgull	slatybackedgull	Larus schistisagus	gull	charadriiformes	wild	clara_birds
900	slatybackedgull	slatybackedgull	Larus schistisagus	gull	charadriiformes	wild	clara_birds,jordan,clara_global
901	slenderbilledgull	slenderbilledgull	Chroicocephalus genei	gull	charadriiformes	wild	jordan,clara_global
902	slenderbilledparakeet	slenderbilledparakeet	Enicognathus leptorhynchus	parrot	psittaciformes	wild	jordan
903	smew	smew	Mergellus albellus	duck	anseriformes	wild	clara_nam,clara_birds
904	snipe	snipe		wader	charadriiformes	wild	jordan
905	snowgoose	snowgoose	Anser caerulescens	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
906	snowyegret	snowyegret	Egretta thula	heron	pelecaniformes	wild	clara_nam,clara_global
907	snowyowl	snowyowl	Bubo scandiacus	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
908	snowyplover	snowyplover	Anarhynchus nivosus	wader	charadriiformes	wild	clara_nam,clara_global
909	somateria_fischeri	spectacledeider	Somateria fischeri	duck	anseriformes	wild	clara_birds
910	sonalichicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
911	songsparrow	songsparrow	Melospiza melodia	passerine	passeriformes	wild	clara_nam
912	songthrush	songthrush	Turdus philomelos	passerine	passeriformes	wild	clara_birds,clara_global
913	sooty_tern	sootytern	Onychoprion fuscatus	tern	charadriiformes	wild	clara_birds
914	southamericantern	southamericantern	Sterna hirundinacea	tern	charadriiformes	wild	jordan
915	southernfulmar	southernfulmar	Fulmarus glacialoides	seabird	procellariiformes	wild	jordan
916	southgeorgiashag	southgeorgiashag	Leucocarbo georianus	cormorant	suliformes	wild	jordan
917	sparrow	sparrow	Passer 	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
918	sparrowhawk	eurasiansparrowhawk	Accipiter nisus	raptor	accipitriformes	wild	jordan,clara_global
919	speckledpigeon	speckledpigeon	Columba guinea	pigeon	columbiformes	wild	jordan
920	spectacled_eider	spectacledeider	Somateria fischeri	duck	anseriformes	wild	clara_birds
921	spoonbill	spoonbill	Platalea	wader	pelecaniformes	wild	jordan
922	spotbillduck	indianspotbilledduck	Anas poecilorhyncha	duck	anseriformes	wild	jordan
923	spotbilledduck	indianspotbilledduck	Anas poecilorhyncha	duck	anseriformes	wild	clara_birds,jordan,clara_global
924	spotbilledpelican	spotbilledpelican	Pelecanus philippensis	pelican	pelecaniformes	wild	jordan
925	spotteddove	spotteddove	Spilopelia chinensis	pigeon	columbiformes	wild	jordan
926	spottedeagleowl	spottedeagleowl	Bubo africanus	owl	strigiformes	wild	jordan
927	spur-wingedlapwing	spurwingedlapwing	Vanellus spinosus	wader	charadriiformes	wild	clara_birds
928	spurwingedgoose	spurwingedgoose	Plectropterus gambensis	goose	anseriformes	wild	clara_birds,jordan
929	starling	starling		passerine	passeriformes	wild	clara_birds
930	steamerduck	steamerduck	Tachyeres	duck	anseriformes	wild	jordan
931	steller's_eider	stellarseider	Polysticta stellari	duck	anseriformes	wild	clara_birds
932	sternahirundo	commontern	Sterna hirundo	seabird	charadriiformes	wild	jordan,clara_global
933	stonecurlew	stonecurlew	Burhinidae	wader	charadriiformes	wild	clara_birds
934	stork	stork		stork	ciconiiformes	wild	clara_birds,clara_global
935							
936	streptopeliadecaocto	eurasiancollareddove	Streptopelia decaocto	dove	columbiformes	wild	jordan
