strain_host	corrected_host	latin_name	category	order	domesticstatus	source
roughleggedhawk	roughleggedhawk	Buteo lagopus 	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
royaltern	royaltern	Thalasseus maximus	tern	charadriiformes	wild	clara_nam,clara_global
rthawk	redtailedhawk	Buteo jamaicensis	raptor	accipitriformes	wild	clara_nam,clara_global
rubbyshelduck	Ruddy_shelduck		duck	anseriformes		clara_birds
ruddy_shelduck	Ruddy_shelduck		duck	anseriformes		clara_birds
ruddyduck	ruddyduck	Oxyura jamaicensis	duck	anseriformes	wild	clara_nam,clara_global
ruddyshelduck	Ruddy_shelduck		duck	anseriformes		clara_birds
ruddyturnstone	ruddyturnstone	Arenaria interpres	wader	charadriiformes	wild	clara_nam,clara_birds,clara_global
ruffedgrouse	ruffedgrouse	Bonasa umbellus	groundbird	galliformes	wild	clara_nam
ruralchicken						jordan,clara_global
ruralduck						jordan,clara_global
ruralgoose						jordan,clara_global
rurallayinghen						jordan,clara_global
ruralturkey						jordan,clara_global
sabinesgull	sabinesgull	Xema sabini	gull	charadriiformes	wild	clara_nam,clara_global
sacredibis						jordan
saker_falcon	saker_falcon		raptor	falconiformes		clara_birds
sakerfalcon	saker_falcon		raptor	falconiformes		clara_birds
sanderling	sanderling	Calidris alba	wader	charadriiformes	wild	clara_nam,clara_birds,clara_global
sandhillcrane	sandhillcrane	Antigone canadensis	crane	gruiformes	wild	clara_nam,clara_global
sandpiper	sandpiper		wader	charadriiformes		clara_birds,jordan
sandwichtern	sandwichtern	Thalasseus sandvicensis	tern	charadriiformes	wild	clara_nam,clara_birds,clara_global
savannahsparrow	savannahsparrow	Passerculus sandwichensis	passerine	passeriformes	wild	clara_nam
saysphoebe	saysphoebe	Sayornis saya	passerine	passeriformes	wild	clara_nam
scaly-breastedmunia	scaly-breasted_munia		passerine	passeriformes		clara_birds
scalysidedmerganser	scalysidedmerganser	Mergus squamatus	duck	anseriformes	unknown	clara_nam
scarletibis	scarletibis	Eudocimus ruber	wader	pelecaniformes	unknown	clara_nam
sck	avian		avian	avian		clara_birds
scoter	scoter	Melanitta	duck	anseriformes	wild	clara_nam,clara_global
seabird						jordan
seaeagle	sea_eagle		raptor	accipitriformes		clara_birds,jordan,clara_global
seagull	gull		gull	charadriiformes		clara_birds,clara_global
seal	seal		seal	seal		clara_birds
sebastopolgoose	sebastopolgoose	Anser anser domesticus 	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
semipalmated_sandpiper	semi-palmated_sandpiper		wader	charadriiformes		clara_birds
sharpshinnedhawk	sharpshinnedhawk	Accipiter striatus	raptor	accipitriformes	wild	clara_nam,clara_global
shearwater						jordan
shelduck						jordan
shorebird	shorebird		wader	charadriiformes		clara_birds
shortbilledgull	shortbilledgull	Larus brachyrhynchus	gull	charadriiformes	wild	clara_nam,clara_global
shortearedowl	shortearedowl	Asio flammeus	owl	strigiformes	wild	clara_nam,clara_global
shorttailedshearwaters	shorttailedshearwater	Ardenna tenuirostris	seabird	procellariiformes	wild	clara_nam,clara_global
shoveler	northern_shoveler		duck	anseriformes		clara_birds,jordan,clara_global
shoveller						jordan
shovellerduck						jordan
shrike	shrike		passerine	passeriformes		clara_birds
silkiechicken	silkiechicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
silkychicken	silkie_chicken		chicken	galliformes		clara_birds
silver-earedmesia	silver-eared_mesia		passerine	passeriformes		clara_birds
silverearedmesia	silver-eared_mesia		passerine	passeriformes		clara_birds
silverpheasant	silverpheasant	Lophura nycthemera	pheasant	galliformes	domestic	clara_nam,clara_birds,clara_global
silverteal						jordan
slaty-backedgull	slaty-backed_gull		gull	charadriiformes		clara_birds
slatybackedgull	slaty-backed_gull		gull	charadriiformes		clara_birds,jordan,clara_global
slenderbilledgull						jordan,clara_global
slenderbilledparakeet						jordan
smew	smew	Mergellus albellus	duck	anseriformes	wild	clara_nam,clara_birds
snipe						jordan
snowgoose	snowgoose	Anser caerulescens	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
snowyegret	snowyegret	Egretta thula	heron	pelecaniformes	wild	clara_nam,clara_global
snowyowl	snowyowl	Bubo scandiacus	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
snowyplover	snowyplover	Anarhynchus nivosus	wader	charadriiformes	wild	clara_nam,clara_global
somateria_fischeri	spectacled_eider		eider	anseriformes		clara_birds
sonalichicken						jordan
songsparrow	songsparrow	Melospiza melodia	passerine	passeriformes	wild	clara_nam
songthrush	song_thrush		passerine	passeriformes		clara_birds,clara_global
sooty_tern	sooty_tern		tern	charadriiformes		clara_birds
southamericantern						jordan
southernfulmar						jordan
southgeorgiashag						jordan
sparrow	sparrow	Passer 	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
sparrowhawk						jordan,clara_global
speckledpigeon						jordan
spectacled_eider	spectacled_eider		duck	anseriformes		clara_birds
spoonbill						jordan
spotbillduck						jordan
spotbilledduck	spot-billed_duck	Anas poecilorhyncha	duck	anseriformes	wild	clara_birds,jordan,clara_global
spotbilledpelican						jordan
spotteddove						jordan
spottedeagleowl						jordan
spur-wingedlapwing	spur-winged_lapwing		lapwing	charadriiformes		clara_birds
spurwingedgoose	spur-winged_goose		goose	anseriformes		clara_birds,jordan
starling	starling		starling	passeriformes		clara_birds
steamerduck						jordan
steller's_eider	stellars_eider		duck	anseriformes		clara_birds
sternahirundo	commontern	Sterna hirundo	seabird	charadriiformes	wild	jordan,clara_global
